lei,provider,symbol,note
5493001BIDO3E2AOA590,,?,OpenFIGI XSTO lookup failed for ISIN SE0009994569; needs manual symbol
5493002TF62S16D67T17,,?,OpenFIGI XSTO lookup failed for ISIN SE0005677143; needs manual symbol
549300358OIURL35XB35,,?,OpenFIGI XSTO lookup failed for ISIN SE0017085137; needs manual symbol
549300EJKT69E4QCLE52,,?,OpenFIGI XSTO lookup failed for ISIN SE0011644392; needs manual symbol
549300EJLPK6GU0LOD67,,?,OpenFIGI XSTO lookup failed for ISIN SE0015191721; needs manual symbol
549300ME32A67ZJVSZ13,,?,OpenFIGI XSTO lookup failed for ISIN SE0008588347; needs manual symbol
549300PBM02K0530N646,,?,OpenFIGI XSTO lookup failed for ISIN SE0002081158; needs manual symbol
549300SCAKTD72NE5U53,,?,OpenFIGI XSTO lookup failed for ISIN SE0008406144; needs manual symbol
549300STW7C1NJ6TUY07,,?,OpenFIGI XSTO lookup failed for ISIN SE0010296251; needs manual symbol
549300UWE2XN3O7TXX74,,?,OpenFIGI XSTO lookup failed for ISIN SE0012904795; needs manual symbol
549300YHQ6UVH52KSF46,,?,OpenFIGI XSTO lookup failed for ISIN SE0014428421; needs manual symbol
549300YML8Z2EWN2F078,,?,OpenFIGI XSTO lookup failed for ISIN SE0010546614; needs manual symbol
549300YX458MQ26P4W97,,?,OpenFIGI XSTO lookup failed for ISIN SE0005676095; needs manual symbol
549300Z20D1BP4MA0040,,?,OpenFIGI XSTO lookup failed for ISIN SE0002480434; needs manual symbol
549300ZXODP2WW24HO93,,?,OpenFIGI XSTO lookup failed for ISIN SE0006877692; needs manual symbol
636700QAWC6SZD422R49,,?,OpenFIGI XSTO lookup failed for ISIN SE0022087672; needs manual symbol
894500DOE76FQ390FN40,,?,OpenFIGI XSTO lookup failed for ISIN SE0022447199; needs manual symbol
9845008AD575B0BD7B65,,?,OpenFIGI XSTO lookup failed for ISIN SE0016798532; needs manual symbol
254900MYZTNVBEN5HN98,,?,OpenFIGI XSTO lookup failed for ISIN SE0018012403; needs manual symbol
5493000MVHMSSMX8ZF36,,?,OpenFIGI XSTO lookup failed for ISIN SE0005337912; needs manual symbol
5493001SGUGUFO9KMG77,,?,OpenFIGI XSTO lookup failed for ISIN SE0018690331; needs manual symbol
54930035YB2W2WZC4742,,?,OpenFIGI XSTO lookup failed for ISIN SE0009267826; needs manual symbol
5493003Q2ERT4J49K693,,?,OpenFIGI XSTO lookup failed for ISIN SE0003088533; needs manual symbol
54930086M84LV8L4RN34,,?,OpenFIGI XSTO lookup failed for ISIN SE0003656826; needs manual symbol
54930092UHP0QCPUQW37,,?,OpenFIGI XSTO lookup failed for ISIN SE0017071103; needs manual symbol
